,Source airport ID,OutFlight,InFlight,TotalFlight,Airlines,Airport ID,Name,City,Country,IATA/FAA,Latitude,Longitude,Altitude
1062,3644.0,18.0,18.0,36.0,"['AA', 'DL', 'UA', 'B6', 'US', 'AS', 'K5', 'WN', 'FL']",3644,Bob Hope,Burbank,United States,BUR,34.200666999999996,-118.358667,778
1063,3849.0,142.0,144.0,286.0,"['AA', 'AC', 'IB', 'BA', 'AF', 'UA', 'AM', 'DL', 'US', 'KL', 'B6', 'NK', 'JJ', 'WN', 'AY', 'AZ', 'FL', 'UP']",3849,Baltimore Washington Intl,Baltimore,United States,BWI,39.175360999999995,-76.66833299999999,146
1064,1957.0,15.0,15.0,30.0,"['AA', 'DL', 'MY', 'US', 'AV', 'UA']",1957,Philip S W Goldson Intl,Belize City,Belize,BZE,17.539144,-88.308203,15
1065,3561.0,17.0,17.0,34.0,"['AA', 'DL', 'AF', 'US', 'KL', 'AZ', 'UA']",3561,Columbia Metropolitan,Columbia,United States,CAE,33.938833,-81.119528,236
1066,4112.0,22.0,22.0,44.0,"['AA', 'DL', 'AF', 'FL', 'US', 'KL', 'WN', 'UA']",4112,Akron Canton Regional Airport,Akron,United States,CAK,40.9160833,-81.4421944,1228
1067,3355.0,13.0,13.0,26.0,"['AA', 'VA', 'QF']",3355,Canberra,Canberra,Australia,CBR,-35.306944,149.195,1886
1068,2009.0,34.0,38.0,72.0,"['AA', 'VA', 'EK', 'SQ', 'JQ', 'MU', 'NZ', 'QF', 'ET', 'FJ']",2009,Christchurch Intl,Christchurch,New Zealand,CHC,-43.489358,172.532225,123
1069,4015.0,13.0,13.0,26.0,"['AA', 'DL', 'AF', 'US', 'KL', 'UA']",4015,Charlottesville-Albemarle,Charlottesville VA,United States,CHO,38.138639000000005,-78.452861,639
1070,3806.0,34.0,35.0,69.0,"['AA', 'DL', 'AF', 'UA', 'B6', 'US', 'KL', 'AS', 'VS', 'WN', 'AZ', 'FL']",3806,Charleston Afb Intl,Charleston,United States,CHS,32.898647,-80.04052800000001,45
1071,4043.0,17.0,18.0,35.0,"['AA', 'DL', 'G4', 'AF', 'F9', '9E', 'US', 'KL', 'UA']",4043,Cedar Rapids,Cedar Rapids,United States,CID,41.884694,-91.710806,869
1072,3486.0,81.0,80.0,161.0,"['AA', 'AC', 'UA', 'AF', 'F9', 'AM', 'DL', 'US', 'KL', 'WN', 'AZ', 'FL']",3486,Cleveland Hopkins Intl,Cleveland,United States,CLE,41.411689,-81.84979399999999,791
1073,3715.0,3.0,3.0,6.0,"['AA', 'UA', 'US']",3715,Easterwood Fld,College Station,United States,CLL,30.588583,-96.363833,321
1074,3759.0,63.0,65.0,128.0,"['AA', 'VA', 'AC', 'UP', 'AF', 'UA', 'AM', 'DL', 'US', 'KL', 'AS', 'WN', 'AZ', 'FL']",3759,Port Columbus Intl,Columbus,United States,CMH,39.997972,-82.891889,815
1075,4049.0,4.0,4.0,8.0,"['AA', 'US']",4049,Champaign,Champaign,United States,CMI,40.03925,-88.278056,754
1076,2537.0,55.0,55.0,110.0,"['AA', 'G3', 'AD', 'CM', 'TP', 'KL', 'AR', 'US', 'JJ', 'O6']",2537,Tancredo Neves Intl,Belo Horizonte,Brazil,CNF,-19.63375,-43.968856,2715
1077,3322.0,56.0,54.0,110.0,"['AA', 'VA', 'BF', 'BA', 'EK', 'Q6', 'PX', 'JQ', 'US', 'JL', 'NZ', 'CX', 'QF', 'AY', 'UA', 'TT']",3322,Cairns Intl,Cairns,Australia,CNS,-16.885832999999998,145.755278,10
1078,3819.0,13.0,14.0,27.0,"['AA', 'DL', 'G4', 'AF', 'US', 'KL', 'AS', 'UA']",3819,City Of Colorado Springs Muni,Colorado Springs,United States,COS,38.805805,-104.700778,6187
1079,3719.0,4.0,4.0,8.0,"['AA', 'US']",3719,Columbia Rgnl,Columbia,United States,COU,38.818094,-92.219631,889
1080,797.0,43.0,41.0,84.0,"['AA', 'VA', 'IB', 'BA', 'EK', 'SQ', 'MN', 'SW', 'MK', 'KL', 'QR', 'BP', 'OZ', 'JE', 'DT', 'AZ', 'SA', 'TK']",797,Cape Town Intl,Cape Town,South Africa,CPT,-33.964806,18.601667000000003,151
1081,3744.0,5.0,5.0,10.0,"['AA', 'UA', 'FL', 'US', 'WN']",3744,Corpus Christi Intl,Corpus Christi,United States,CRP,27.770360999999998,-97.501222,44
1082,2287.0,81.0,81.0,162.0,"['HZ', 'BC', 'JW', 'JL', 'JH', 'BR', 'HA', 'HD', 'NH', 'TW', 'FW', 'LJ', 'TG', 'AA', 'CI', 'CA', 'GE', 'CX', 'GK', 'KE', 'MM', 'MU', 'UA']",2287,New Chitose,Sapporo,Japan,CTS,42.7752,141.692283,82
1083,4045.0,5.0,5.0,10.0,"['AA', 'DL', 'UA', 'US']",4045,Central Wisconsin,Wassau,United States,CWA,44.772726,-89.646635,840
1084,3950.0,5.0,5.0,10.0,"['AA', 'DL', 'KL', 'US', 'AF']",3950,Daytona Beach Intl,Daytona Beach,United States,DAB,29.179917,-81.05805600000001,34
1085,3627.0,32.0,32.0,64.0,"['AA', 'DL', 'AF', 'UA', 'US', 'KL', 'WN', 'AZ', 'FL']",3627,James M Cox Dayton Intl,Dayton,United States,DAY,39.902375,-84.219375,1009
1086,4388.0,2.0,2.0,4.0,"['AA', 'US']",4388,Dubuque Rgnl,Dubuque IA,United States,DBQ,42.402,-90.70947199999999,1076
1087,3520.0,196.0,192.0,388.0,"['AA', 'AC', 'UA', 'AF', 'F9', 'AM', 'B6', 'SY', 'KL', 'AS', 'US', 'WN', 'VX', 'AZ', 'FL', 'DL']",3520,Ronald Reagan Washington Natl,Washington,United States,DCA,38.852083,-77.037722,15
1088,3751.0,361.0,374.0,735.0,"['DL', 'BA', 'WN', 'AZ', 'FI', 'FL', 'NH', 'NK', 'ZK', 'LH', 'AA', 'AC', 'AF', 'AM', 'AS', 'VS', 'AY', 'IB', 'F9', 'US', 'KL', 'B6', 'UA', 'Y4']",3751,Denver Intl,Denver,United States,DEN,39.861655999999996,-104.67317800000001,5431
1089,3713.0,5.0,5.0,10.0,"['AA', 'UA', 'US']",3713,Durango La Plata Co,Durango,United States,DRO,37.151516,-107.75376999999999,6685
1090,3729.0,29.0,28.0,57.0,"['AA', 'DL', 'G4', 'UA', 'AF', 'F9', 'US', 'KL', 'WN', 'FL']",3729,Des Moines Intl,Des Moines,United States,DSM,41.533972,-93.663083,958
1091,1943.0,6.0,6.0,12.0,"['AA', 'US', 'UA', 'UP', 'PL']",1943,North Eleuthera,North Eleuthera,Bahamas,ELH,25.474860999999997,-76.683489,13
1092,3946.0,6.0,6.0,12.0,"['AA', 'DL', 'G4', 'UA', 'US']",3946,Elmira Corning Rgnl,Elmira,United States,ELM,42.159889,-76.891611,954
1093,3559.0,24.0,23.0,47.0,"['AA', 'DL', 'AF', 'UA', 'US', 'KL', 'AS', 'WN', 'AZ', 'FL']",3559,El Paso Intl,El Paso,United States,ELP,31.80725,-106.377583,3958
1094,4276.0,4.0,4.0,8.0,"['AA', 'DL', 'UA', 'US']",4276,Erie Intl Tom Ridge Fld,Erie,United States,ERI,42.082021999999995,-80.17621700000001,733
1095,4099.0,14.0,13.0,27.0,"['AA', 'DL', 'G4', 'F9', 'US', 'AS', 'UA']",4099,Mahlon Sweet Fld,Eugene,United States,EUG,44.124583,-123.211972,374
1096,3730.0,5.0,5.0,10.0,"['AA', 'DL', 'KL', 'US', 'AF']",3730,Craven Co Rgnl,New Bern,United States,EWN,35.072972,-77.04294399999999,18
1097,3875.0,13.0,14.0,27.0,"['AA', 'DL', 'AF', 'FL', 'US', 'KL', 'WN', 'UA']",3875,Key West Intl,Key West,United States,EYW,24.556110999999998,-81.759556,3
1098,4292.0,14.0,14.0,28.0,"['AA', 'DL', 'G4', 'F9', 'US', 'UA']",4292,Hector International Airport,Fargo,United States,FAR,46.92065,-96.81576390000001,902
1099,3687.0,20.0,20.0,40.0,"['AA', 'DL', 'G4', 'F9', 'AM', 'US', 'AS', 'UA', 'Y4']",3687,Fresno Yosemite Intl,Fresno,United States,FAT,36.776194,-119.71813999999999,336
