Airline,Name,Country,0,1,2,Number Countries,Favorite Airport ID,Favorite Airport Name,Favorite Airport City,Favorite Airport Country
HV,Transavia Holland,Netherlands,99.0,116.0,18.0,20,580.0,Schiphol,Amsterdam,Netherlands
HW,Hello,Switzerland,10.0,0.0,0.0,1,155.0,Norman Wells,Norman Wells,Canada
HX,Hong Kong Airlines,Hong Kong SAR of China,36.0,11.0,2.0,7,3077.0,Hong Kong Intl,Hong Kong,Hong Kong
HY,Uzbekistan Airways,Uzbekistan,31.0,68.0,52.0,23,2983.0,Yuzhny,Tashkent,Uzbekistan
HZ,Sat Airlines,Kazakhstan,14.0,1.0,0.0,4,2933.0,Khomutovo,Yuzhno-sakhalinsk,Russia
I4,Interstate Airline,Netherlands,2.0,0.0,0.0,1,3808.0,Ketchikan Intl,Ketchikan,United States
I6,MexicanaLink,Mexico,20.0,0.0,0.0,1,2206.0,Jinnah Intl,Karachi,Pakistan
I8,IzAvia,Russia,6.0,2.0,0.0,1,6141.0,Izhevsk Airport,Izhevsk,Russia
I9,Air Italy,Italy,2.0,0.0,2.0,2,1524.0,Malpensa,Milano,Italy
IB,Iberia Airlines,Spain,509.0,138.0,184.0,71,1218.0,Barcelona,Barcelona,Spain
ID,Interlink Airlines,South Africa,10.0,4.0,2.0,1,3275.0,Soekarno Hatta Intl,Jakarta,Indonesia
IE,Solomon Airlines,Solomon Islands,54.0,4.0,0.0,4,4074.0,Honiara International,Honiara,Solomon Islands
IG,Meridiana,Italy,139.0,25.0,9.0,19,1520.0,Olbia Costa Smeralda,Olbia,Italy
IL,Illinois Airways,United States,19.0,0.0,0.0,1,3910.0,Iskandar,Pangkalan Bun,Indonesia
IOS,Isles of Scilly Skybus,United Kingdom,46.0,26.0,0.0,7,2937.0,Irkutsk,Irkutsk,Russia
IR,Iran Air,Iran,145.0,15.0,26.0,23,4330.0,Imam Khomeini,Tehran,Iran
IX,Air India Express,India,22.0,46.0,8.0,9,3137.0,Calicut,Calicut,India
IY,Yemenia,Yemen,54.0,33.0,9.0,20,3980.0,Sanaa Intl,Sanaa,Yemen
IZ,Arkia Israel Airlines,Israel,14.0,0.0,6.0,7,1590.0,Ben Gurion,Tel-aviv,Israel
J2,Azerbaijan Airlines,Azerbaijan,14.0,28.0,12.0,18,2922.0,Heydar Aliyev,Baku,Azerbaijan
J3,Northwestern Air,Canada,18.0,0.0,0.0,1,136.0,Fort Smith,Fort Smith,Canada
J4,ALAK,Russia,8.0,0.0,0.0,1,1175.0,Khartoum,Khartoum,Sudan
J5,Alaska Seaplane Service,United States,15.0,0.0,0.0,1,3492.0,Juneau Intl,Juneau,United States
J8,Berjaya Air,Malaysia,4.0,0.0,0.0,2,4013.0,Redang,Redang,Malaysia
J9,Jazeera Airways,Kuwait,18.0,12.0,0.0,10,2176.0,Kuwait Intl,Kuwait,Kuwait
